|company_code1|company_code2|company_code3|pol_no|ins_date|app_name|app_cst_no|app_id_no|insfav_type|insbene_cus_pro|relation|fav_type|name|insbene_cst_no|insbene_id_no|etl_date
0||||P336401606201800000001|181214|咋啊啊|8000000631|2121122|11|1|02||咋啊啊|8000000631|2121122|
1||||P997302001201900000035|190428|许露露|8000000819|3659309579075|11|1|10||许露露|8000000819|3659309579075|
2||||P997302001201900000035|190428|许露露|8000000819|3659309579075|11|1|10||许露露|8000000819|3659309579075|
3||||P997302001201900000035|190428|许露露|8000000819|3659309579075|11|1|10||许露露|8000000819|3659309579075|
4||||P997302001201800000068|181217|许露露|8000000632|839759037952|11|1|07||许露露|8000000632|839759037952|
5||||P997302001201800000068|181217|许露露|8000000632|839759037952|11|1|07||许露露|8000000632|839759037952|
6||||P997302001201800000029|180910|山水集团|8000000376|QAZX12345678|11|0|||山水集团|8000000376|QAZX12345678|
7||||P997302001201800000029|180910|山水集团|8000000376|QAZX12345678|11|0|||山水集团|8000000376|QAZX12345678|
8||||P997302001201800000031|180913|山水集团|8000000376|QAZX12345678|11|0|||山水集团|8000000376|QAZX12345678|
9||||P997302001201800000031|180913|山水集团|8000000376|QAZX12345678|11|0|||山水集团|8000000376|QAZX12345678|
10||||P997302001201800000031|180913|山水集团|8000000376|QAZX12345678|11|0|||山水集团|8000000376|QAZX12345678|
11||||P997302001201800000064|181026|测试|8000000559|4234234234|11|1|05||测试|8000000559|4234234234|
12||||P997302001201800000064|181026|测试|8000000559|4234234234|11|1|05||测试|8000000559|4234234234|
13||||P997302001201900000035|190428|许露露|8000000819|3659309579075|11|1|10||许露露|8000000819|3659309579075|
14||||P997302001201900000035|190428|许露露|8000000819|3659309579075|11|1|10||许露露|8000000819|3659309579075|
15||||P997302001201900000035|190428|许露露|8000000819|3659309579075|11|1|10||许露露|8000000819|3659309579075|
16||||P997302001201800000035|180919|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|11|0|||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|
17||||P997302001201800000035|180919|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|11|0|||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|
18||||P997302001201800000019|180907|waterm|8000000060|2345678|11|1|05||waterm|8000000060|2345678|
19||||P997302001201800000019|180907|waterm|8000000060|2345678|11|1|05||waterm|8000000060|2345678|
20||||P997301602201700000007|171216|MOT测试1|8000000001|12122221212|11|1|05||MOT测试1|8000000001|12122221212|
21||||P997301602201700000008|171217|MOT测试1|8000000001|12122221212|11|1|05||MOT测试1|8000000001|12122221212|
22||||P997301602201700000009|171217|软通测试数据—1217|8000000002|20171217|11|0|||软通测试数据—1217|8000000002|20171217|
23||||P997301602201700000009|171217|软通测试数据—1217|8000000002|20171217|11|0|||软通测试数据—1217|8000000002|20171217|
24||||P997301602201700000009|171217|软通测试数据—1217|8000000002|20171217|11|0|||软通测试数据—1217|8000000002|20171217|
25||||P997301602201700000009|171217|软通测试数据—1217|8000000002|20171217|11|0|||软通测试数据—1217|8000000002|20171217|
26||||P997301602201700000009|171217|软通测试数据—1217|8000000002|20171217|11|0|||软通测试数据—1217|8000000002|20171217|
27||||P997301602201700000009|171217|软通测试数据—1217|8000000002|20171217|11|0|||软通测试数据—1217|8000000002|20171217|
28||||P997301602201700000014|171218|1|8000000006|12121221|11|1|02||1|8000000006|12121221|
29||||P997301802201700000002|171218|玉藻前葫芦兄弟黑科技股份有限公司|8000000008|5113050370351027G|11|0|||玉藻前葫芦兄弟黑科技股份有限公司|8000000008|5113050370351027G|
30||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
31||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
32||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
33||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
34||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
35||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
36||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
37||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
38||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
39||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
40||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
41||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
42||||P997301602201700000009|171217|软通测试数据—1217|8000000002|20171217|11|0|||软通测试数据—1217|8000000002|20171217|
43||||P997301602201700000009|171217|软通测试数据—1217|8000000002|20171217|11|0|||软通测试数据—1217|8000000002|20171217|
44||||P997301602201700000009|171217|软通测试数据—1217|8000000002|20171217|11|0|||软通测试数据—1217|8000000002|20171217|
45||||P997301803201700000001|171219|最爱是黑猫警长科技有限公司|8000000011|QAZX1234567890|11|0|||最爱是黑猫警长科技有限公司|8000000011|QAZX1234567890|
46||||P997301806201700000001|171219|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|11|0|||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|
47||||P997301806201700000001|171219|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|11|0|||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|
48||||P997301804201700000001|171219|嘉兴一定旺科技有限公司|8000000013|1234567|11|0|||嘉兴一定旺科技有限公司|8000000013|1234567|
49||||P997301806201700000002|171219|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|11|0|||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|
50||||P997301806201700000003|171219|小萝卜头科技有限公司|8000000014|12345678-z|11|0|||小萝卜头科技有限公司|8000000014|12345678-z|
51||||P997301806201700000003|171219|小萝卜头科技有限公司|8000000014|12345678-z|11|0|||小萝卜头科技有限公司|8000000014|12345678-z|
52||||P997301806201700000001|171219|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|11|0|||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|
53||||P997301806201700000001|171219|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|11|0|||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|
54||||P997301807201700000001|171219|汪汪小函联合科技有限公司|8000000015|1111122|11|0|||汪汪小函联合科技有限公司|8000000015|1111122|
55||||P997301808201700000001|171219|俊男俊逸高新技术有限公司|8000000016|1234567890|11|0|||俊男俊逸高新技术有限公司|8000000016|1234567890|
56||||P997301806201700000003|171219|小萝卜头科技有限公司|8000000014|12345678-z|11|0|||小萝卜头科技有限公司|8000000014|12345678-z|
57||||P997301806201700000003|171219|小萝卜头科技有限公司|8000000014|12345678-z|11|0|||小萝卜头科技有限公司|8000000014|12345678-z|
58||||P997301805201700000001|171219|最爱是黑猫警长科技有限公司|8000000011|QAZX1234567890|11|0|||最爱是黑猫警长科技有限公司|8000000011|QAZX1234567890|
59||||P997301806201700000004|171220|豆腐乳高新茄子渣科技有限公司|8000000020|7770305004170305H|11|0|||豆腐乳高新茄子渣科技有限公司|8000000020|7770305004170305H|
60||||P997301806201700000004|171220|豆腐乳高新茄子渣科技有限公司|8000000020|7770305004170305H|11|0|||豆腐乳高新茄子渣科技有限公司|8000000020|7770305004170305H|
61||||P997301808201700000002|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
62||||P997301808201700000002|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
63||||P997301808201700000002|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
64||||P997301602201700000010|171220|买买提.买买提|8000000027|123123123123123123|11|1|08||买买提.买买提|8000000027|123123123123123123|
65||||P997301602201700000010|171220|买买提.买买提|8000000027|123123123123123123|11|1|08||买买提.买买提|8000000027|123123123123123123|
66||||P997301602201700000011|171220|qweqweqw|8000000029|123123213wqeqwe|11|0|||qweqweqw|8000000029|123123213wqeqwe|
67||||P997301807201700000002|171220|卷华生福侦探黑科技股份有限公司|8000000030|5113054171070727L|11|0|||卷华生福侦探黑科技股份有限公司|8000000030|5113054171070727L|
