|company_code1|company_code2|company_code3|company_code4|pol_no|app_no|ins_date|app_name|app_cst_no|app_id_type|app_id_no|ins_no|renew_date|pay_date|cur_code|pre_amt|usd_amt|tsf_flag|acc_name|acc_no|acc_bank|receipt_no|endorse_no|etl_date
0|||||P336401001201800000001|T336401001201800000002|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
1|||||P336401001201800000002|T336401001201800000003|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
2|||||P336401001201800000003|T336401001201800000004|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
3|||||P336401001201800000004|T336401001201800000005|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
4|||||P336401001201800000005|T336401001201800000006|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
5|||||P336401001201800000006|T336401001201800000007|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
6|||||P336401001201800000007|T336401001201800000008|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
7|||||P336401001201800000010|T336401001201800000009|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
8|||||P336401001201800000010|T336401001201800000012|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-01|
9|||||P336401001201800000010|T336401001201800000013|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-02|
10|||||P336401001201800000010|T336401001201800000014|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-03|
11|||||P336401001201800000010|T336401001201800000015|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-04|
12|||||P336401001201800000010|T336401001201800000016|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-05|
13|||||P336401001201800000008|T336401001201800000010|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
14|||||P336401001201800000009|T336401001201800000011|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
15|||||P336401001201800000010|T336401001201800000009|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
16|||||P336401001201800000010|T336401001201800000012|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-01|
17|||||P336401001201800000010|T336401001201800000013|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-02|
18|||||P336401001201800000010|T336401001201800000014|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-03|
19|||||P336401001201800000010|T336401001201800000015|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-04|
20|||||P336401001201800000010|T336401001201800000016|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-05|
21|||||P336401001201800000010|T336401001201800000009|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
22|||||P336401001201800000010|T336401001201800000012|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-01|
23|||||P336401001201800000010|T336401001201800000013|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-02|
24|||||P336401001201800000010|T336401001201800000014|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-03|
25|||||P336401001201800000010|T336401001201800000015|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-04|
26|||||P336401001201800000010|T336401001201800000016|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-05|
27|||||P336401001201800000010|T336401001201800000009|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
28|||||P336401001201800000010|T336401001201800000012|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-01|
29|||||P336401001201800000010|T336401001201800000013|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-02|
30|||||P336401001201800000010|T336401001201800000014|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-03|
31|||||P336401001201800000010|T336401001201800000015|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-04|
32|||||P336401001201800000010|T336401001201800000016|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-05|
33|||||P336401001201800000010|T336401001201800000009|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
34|||||P336401001201800000010|T336401001201800000012|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-01|
35|||||P336401001201800000010|T336401001201800000013|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-02|
36|||||P336401001201800000010|T336401001201800000014|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-03|
37|||||P336401001201800000010|T336401001201800000015|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-04|
38|||||P336401001201800000010|T336401001201800000016|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-05|
39|||||P336401001201800000010|T336401001201800000009|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
40|||||P336401001201800000010|T336401001201800000012|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-01|
41|||||P336401001201800000010|T336401001201800000013|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-02|
42|||||P336401001201800000010|T336401001201800000014|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-03|
43|||||P336401001201800000010|T336401001201800000015|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-04|
44|||||P336401001201800000010|T336401001201800000016|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000010-05|
45|||||P336401001201800000011|T336401001201800000017|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
46|||||P336401001201800000011|T336401001201800000018|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000011-01|
47|||||P336401001201800000011|T336401001201800000017|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
48|||||P336401001201800000011|T336401001201800000018|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000011-01|
49|||||P336401001201800000012|T336401001201800000019|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
50|||||P336401001201800000012|T336401001201800000020|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000012-01|
51|||||P336401001201800000012|T336401001201800000019|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
52|||||P336401001201800000012|T336401001201800000020|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000012-01|
53|||||P336401001201800000013|T336401001201800000021|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
54|||||P336401001201800000013|T336401001201800000022|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000013-01|
55|||||P336401001201800000013|T336401001201800000021|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
56|||||P336401001201800000013|T336401001201800000022|181206|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000013-01|
57|||||P336401001201800000014|T336401001201800000023|181206|许露露|8000000616|02|84750937490509|01001||||||||||||
58|||||P336401001201800000015|T336401001201800000024|181219|许露露|8000000616|02|84750937490509|01001||||||||||||
59|||||P336401001201800000015|T336401001201800000025|181219|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000015-01|
60|||||P336401001201800000015|T336401001201800000024|181219|许露露|8000000616|02|84750937490509|01001||||||||||||
61|||||P336401001201800000015|T336401001201800000025|181219|许露露|8000000616|02|84750937490509|01001|||||||||||P336401001201800000015-01|
62|||||P336401001201800000016|T336401001201800000026|181220|许露露|8000000616|02|84750937490509|01001||||||||||||
63|||||P336401001201900000001|T336401001201900000003|190508|许露露|8000000616|02|84750937490509|01001||||||||||||
64|||||P336401002201900000001|T336401002201900000001|190508|魏无羡|8000000420|02|431514514|01002||||||||||||
