|company_code1|company_code2|company_code3|company_code4|pol_no|app_no|ins_date|eff_date|cur_code1|pre_amt_all|usd_amt_all|app_name|app_cst_no|app_id_no|app_cus_pro|ins_name|ins_cst_no|ins_id_no|ins_cus_pro|benefit_name|benefit_id_no|benefit_pro|relation_1|relation_2|pay_type|rpay_date|pay_date|cur_code2|pay_amt|pay_usd_amt|tsf_flag|acc_name|acc_no|acc_bank|receipt_no|etl_date
0|||||P336401606201800000001|T336401606201800000002|20181214|20181215||||咋啊啊|8000000631|2121122|1|咋啊啊|8000000631|2121122|1|||||||||||||||||
1|||||P997302001201900000035|T997302001201900000090|20190428|20190328||||许露露|8000000819|3659309579075|1|许露露|8000000819|3659309579075|1|||||||||||||||||
2|||||P997302001201900000035|T997302001201900000090|20190428|20190328||||许露露|8000000819|3659309579075|1|许露露|8000000819|3659309579075|1|||||||||||||||||
3|||||P997302001201800000068|T997302001201900000119|20181217|20181218||||许露露|8000000632|839759037952|1|许露露|8000000632|839759037952|1|||||||||||||||||
4|||||P997302001201800000029|T997302001201900000132|20180910|20180902||||山水集团|8000000376|QAZX12345678|0|山水集团|8000000376|QAZX12345678|0|||||||||||||||||
5|||||P997302001201800000031|T997302001201900000133|20180913|20180914||||山水集团|8000000376|QAZX12345678|0|山水集团|8000000376|QAZX12345678|0|||||||||||||||||
6|||||P997302001201800000031|T997302001201900000133|20180913|20180914||||山水集团|8000000376|QAZX12345678|0|山水集团|8000000376|QAZX12345678|0|||||||||||||||||
7|||||P997302001201800000064|T997302001201900000134|20181026|20181027||||测试|8000000559|4234234234|1|测试|8000000559|4234234234|1|||||||||||||||||
8|||||P997302001201900000035|T997302001201900000135|20190428|20190328||||许露露|8000000819|3659309579075|1|许露露|8000000819|3659309579075|1|||||||||||||||||
9|||||P997302001201900000035|T997302001201900000135|20190428|20190328||||许露露|8000000819|3659309579075|1|许露露|8000000819|3659309579075|1|||||||||||||||||
10|||||P997302001201800000035|T997302001201900000153|20180919|20180907||||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|||||||||||||||||
11|||||P997302001201800000019|T997302001201900000154|20180907|20180908||||waterm|8000000060|2345678|1|waterm|8000000060|2345678|1|||||||||||||||||
12|||||P997301602201700000007|T997301602201700000002|20171216|20171217||||MOT测试1|8000000001|12122221212|1|MOT测试1|8000000001|12122221212|1|||||||||||||||||
13|||||P997301602201700000008|T997301602201700000003|20171217|20171218||||MOT测试1|8000000001|12122221212|1|MOT测试1|8000000001|12122221212|1|||||||||||||||||
14|||||P997301602201700000009|T997301602201700000004|20171217|20171218||||软通测试数据—1217|8000000002|20171217|0|软通测试数据—1217|8000000002|20171217|0|||||||||||||||||
15|||||P997301602201700000009|T997301602201700000004|20171217|20171218||||软通测试数据—1217|8000000002|20171217|0|软通测试数据—1217|8000000002|20171217|0|||||||||||||||||
16|||||P997301602201700000009|T997301602201700000004|20171217|20171218||||软通测试数据—1217|8000000002|20171217|0|软通测试数据—1217|8000000002|20171217|0|||||||||||||||||
17|||||P997301602201700000009|T997301602201700000005|20171217|20171218||||软通测试数据—1217|8000000002|20171217|0|软通测试数据—1217|8000000002|20171217|0|||||||||||||||||
18|||||P997301602201700000009|T997301602201700000005|20171217|20171218||||软通测试数据—1217|8000000002|20171217|0|软通测试数据—1217|8000000002|20171217|0|||||||||||||||||
19|||||P997301602201700000009|T997301602201700000005|20171217|20171218||||软通测试数据—1217|8000000002|20171217|0|软通测试数据—1217|8000000002|20171217|0|||||||||||||||||
20|||||P997301602201700000014|T997301602201700000008|20171218|20171219||||1|8000000006|12121221|1|1|8000000006|12121221|1|||||||||||||||||
21|||||P997301802201700000002|T997301802201700000001|20171218|20171219||||玉藻前葫芦兄弟黑科技股份有限公司|8000000008|5113050370351027G|0|玉藻前葫芦兄弟黑科技股份有限公司|8000000008|5113050370351027G|0|||||||||||||||||
22|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
23|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
24|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
25|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
26|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
27|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
28|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
29|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
30|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
31|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
32|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
33|||||P997301802201700000001|T997301802201700000002|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
34|||||P997301602201700000009|T997301602201700000009|20171217|20171218||||软通测试数据—1217|8000000002|20171217|0|软通测试数据—1217|8000000002|20171217|0|||||||||||||||||
35|||||P997301602201700000009|T997301602201700000009|20171217|20171218||||软通测试数据—1217|8000000002|20171217|0|软通测试数据—1217|8000000002|20171217|0|||||||||||||||||
36|||||P997301602201700000009|T997301602201700000009|20171217|20171218||||软通测试数据—1217|8000000002|20171217|0|软通测试数据—1217|8000000002|20171217|0|||||||||||||||||
37|||||P997301803201700000001|T997301803201700000002|20171219|20171220||||最爱是黑猫警长科技有限公司|8000000011|QAZX1234567890|0|最爱是黑猫警长科技有限公司|8000000011|QAZX1234567890|0|||||||||||||||||
38|||||P997301806201700000001|T997301806201700000001|20171219|20171220||||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|||||||||||||||||
39|||||P997301806201700000001|T997301806201700000001|20171219|20171220||||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|||||||||||||||||
40|||||P997301804201700000001|T997301804201700000001|20171219|20171220||||嘉兴一定旺科技有限公司|8000000013|1234567|0|嘉兴一定旺科技有限公司|8000000013|1234567|0|||||||||||||||||
41|||||P997301806201700000002|T997301806201700000002|20171219|20171220||||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|||||||||||||||||
