|company_code1|company_code2|company_code3|company_code4|pay_type|pol_no|app_no|ins_date|eff_date|cur_code|pre_amt_all|usd_amt_all|pay_amt_all|usd_pay_amt_all|app_name|app_cst_no|id_no|cus_pro|sur_name|sur_id_no|sur_date|pay_date|cur_code2|sur_amt|usd_sur_amt|tsf_flag|acc_name|acc_no|acc_bank|receipt_no|endorse_no|etl_date
0||||||P336401001201800000001|T336401001201800000002|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
1||||||P336401001201800000002|T336401001201800000003|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
2||||||P336401001201800000003|T336401001201800000004|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
3||||||P336401001201800000004|T336401001201800000005|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
4||||||P336401001201800000005|T336401001201800000006|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
5||||||P336401001201800000006|T336401001201800000007|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
6||||||P336401001201800000007|T336401001201800000008|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
7||||||P336401001201800000010|T336401001201800000009|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
8|||||07|P336401001201800000010|T336401001201800000012|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-01|
9|||||08|P336401001201800000010|T336401001201800000013|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-02|
10|||||12|P336401001201800000010|T336401001201800000014|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-03|
11|||||15|P336401001201800000010|T336401001201800000015|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-04|
12|||||45|P336401001201800000010|T336401001201800000016|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-05|
13||||||P336401001201800000008|T336401001201800000010|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
14||||||P336401001201800000009|T336401001201800000011|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
15||||||P336401001201800000010|T336401001201800000009|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
16|||||07|P336401001201800000010|T336401001201800000012|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-01|
17|||||08|P336401001201800000010|T336401001201800000013|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-02|
18|||||12|P336401001201800000010|T336401001201800000014|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-03|
19|||||15|P336401001201800000010|T336401001201800000015|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-04|
20|||||45|P336401001201800000010|T336401001201800000016|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-05|
21||||||P336401001201800000010|T336401001201800000009|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
22|||||07|P336401001201800000010|T336401001201800000012|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-01|
23|||||08|P336401001201800000010|T336401001201800000013|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-02|
24|||||12|P336401001201800000010|T336401001201800000014|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-03|
25|||||15|P336401001201800000010|T336401001201800000015|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-04|
26|||||45|P336401001201800000010|T336401001201800000016|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-05|
27||||||P336401001201800000010|T336401001201800000009|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
28|||||07|P336401001201800000010|T336401001201800000012|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-01|
29|||||08|P336401001201800000010|T336401001201800000013|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-02|
30|||||12|P336401001201800000010|T336401001201800000014|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-03|
31|||||15|P336401001201800000010|T336401001201800000015|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-04|
32|||||45|P336401001201800000010|T336401001201800000016|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-05|
33||||||P336401001201800000010|T336401001201800000009|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
34|||||07|P336401001201800000010|T336401001201800000012|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-01|
35|||||08|P336401001201800000010|T336401001201800000013|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-02|
36|||||12|P336401001201800000010|T336401001201800000014|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-03|
37|||||15|P336401001201800000010|T336401001201800000015|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-04|
38|||||45|P336401001201800000010|T336401001201800000016|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-05|
39||||||P336401001201800000010|T336401001201800000009|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
40|||||07|P336401001201800000010|T336401001201800000012|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-01|
41|||||08|P336401001201800000010|T336401001201800000013|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-02|
42|||||12|P336401001201800000010|T336401001201800000014|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-03|
43|||||15|P336401001201800000010|T336401001201800000015|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-04|
44|||||45|P336401001201800000010|T336401001201800000016|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000010-05|
45||||||P336401001201800000011|T336401001201800000017|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
46|||||c1|P336401001201800000011|T336401001201800000018|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000011-01|
47||||||P336401001201800000011|T336401001201800000017|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
48|||||c1|P336401001201800000011|T336401001201800000018|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000011-01|
49||||||P336401001201800000012|T336401001201800000019|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
50|||||s1|P336401001201800000012|T336401001201800000020|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000012-01|
51||||||P336401001201800000012|T336401001201800000019|181206|181207||||||许露露|8000000616|84750937490509|1||||||||||||||
52|||||s1|P336401001201800000012|T336401001201800000020|181206|181207||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000012-01|
53||||||P336401001201800000013|T336401001201800000021|181206|180106||||||许露露|8000000616|84750937490509|1||||||||||||||
54|||||s2|P336401001201800000013|T336401001201800000022|181206|180106||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000013-01|
55||||||P336401001201800000013|T336401001201800000021|181206|180106||||||许露露|8000000616|84750937490509|1||||||||||||||
56|||||s2|P336401001201800000013|T336401001201800000022|181206|180106||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000013-01|
57||||||P336401001201800000014|T336401001201800000023|181206|180106||||||许露露|8000000616|84750937490509|1||||||||||||||
58||||||P336401001201800000015|T336401001201800000024|181219|181220||||||许露露|8000000616|84750937490509|1||||||||||||||
59|||||s1|P336401001201800000015|T336401001201800000025|181219|181220||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000015-01|
60||||||P336401001201800000015|T336401001201800000024|181219|181220||||||许露露|8000000616|84750937490509|1||||||||||||||
61|||||s1|P336401001201800000015|T336401001201800000025|181219|181220||||||许露露|8000000616|84750937490509|1|||||||||||||P336401001201800000015-01|
62||||||P336401001201800000016|T336401001201800000026|181220|181221||||||许露露|8000000616|84750937490509|1||||||||||||||
63||||||P336401001201900000001|T336401001201900000003|190508|190509||||||许露露|8000000616|84750937490509|1||||||||||||||
64||||||P336401002201900000001|T336401002201900000001|190508|190509||||||魏无羡|8000000420|431514514|1||||||||||||||
65|||||70|P336401002201900000001|T336401002201900000003|190508|190509||||||魏无羡|8000000420|431514514|1|||||||||||||P336401002201900000001-01|
66||||||P336401002201900000002|T336401002201900000002|190508|190509||||||魏无羡|8000000420|431514514|1||||||||||||||
67||||||P336401002201900000001|T336401002201900000001|190508|190509||||||魏无羡|8000000420|431514514|1||||||||||||||
68|||||70|P336401002201900000001|T336401002201900000003|190508|190509||||||魏无羡|8000000420|431514514|1|||||||||||||P336401002201900000001-01|
